dataset,species,dataset_type,outcome_raw,outcome_label,gene_class,filter_mode,estimate,std_error,residual_df,t_statistic,p_value,confidence_interval_low,confidence_interval_high,n_obs,p_value_fdr
Zhu (B. subtilis),B. subtilis,Individual,slope,Growth slope,Accessory,Full (All Genes),0.087242732996409,0.4294374352650465,1767,0.20315586353705575,0.8390365999178216,-0.7550160998154816,0.9295015658082995,1771,0.9917461070817164
Zhu (B. subtilis),B. subtilis,Individual,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),-6.805185324405504e-4,0.2828764617253265,1711,-0.002405709291928768,0.9980808039914422,-0.5555006716708465,0.5541396346059654,1715,0.9988139914570369
Zhu (B. subtilis),B. subtilis,Individual,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),0.09886024494793275,0.428732989357389,1711,0.23058697931341945,0.8176632507375455,-0.7420358174530634,0.9397563073489289,1715,0.9856762474644384
Zhu (V. natriegens),V. natriegens,Consensus_Representative,mean_ln,Mean expression,Core,Full (All Genes),-1.8024858756727857,0.28758598420294723,1436,-6.267641591325901,4.836506280183562e-10,-2.366619532943126,-1.2383522184024454,1440,1.4187085088538447e-8
Zhu (V. natriegens),V. natriegens,Consensus_Representative,mean_ln,Mean expression,Accessory,Full (All Genes),-2.234794335942199,0.6999364732707187,1436,-3.1928530963664095,0.0014392899891403441,-3.6078018683415047,-0.8617868035428933,1440,0.007450442296726488
Zhu (V. natriegens),V. natriegens,Consensus_Representative,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),-1.30904987692292,0.2840581411285805,1380,-4.608387113011386,4.43303561546652e-6,-1.8662823308172034,-0.7518174230286366,1384,5.572959059443625e-5
Zhu (V. natriegens),V. natriegens,Consensus_Representative,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),-2.1940331856305444,0.683857219553054,1380,-3.2083205717481356,0.0013658020408756988,-3.535545296675366,-0.8525210745857226,1384,0.007450442296726488
Zhu (V. natriegens),V. natriegens,Consensus_Representative,slope,Growth slope,Core,Full (All Genes),0.022994993665176447,0.18254434024723143,1436,0.12596935974039436,0.8997738124373682,-0.3350871519688759,0.38107713929922876,1440,0.9917461070817164
Zhu (V. natriegens),V. natriegens,Consensus_Representative,slope,Growth slope,Accessory,Full (All Genes),0.03334090780919563,0.4442825754610188,1436,0.07504437412293012,0.9401898585029455,-0.8381715021260515,0.9048533177444428,1440,0.9917461070817164
Zhu (V. natriegens),V. natriegens,Consensus_Representative,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),0.13510566633278623,0.18827569876563208,1380,0.7175948208853413,0.47312860188211037,-0.23423185455292725,0.5044431872184997,1384,0.743487802957602
Zhu (V. natriegens),V. natriegens,Consensus_Representative,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),0.03649800294637988,0.45326529053427983,1380,0.0805223865770935,0.9358334676681893,-0.8526654940265618,0.9256614999193215,1384,0.9917461070817164
