dataset,n_conditions,replicate,n_genes_used,beta_slope,beta_mean,beta_diff
E. coli Consensus,10,16,1695,-0.09853369615529269,-0.03765477631402276,-0.060878919841269925
E. coli Consensus,10,17,1695,-0.053912203160770014,-0.04138736939359464,-0.012524833767175371
E. coli Consensus,10,18,1682,-0.10945437251798996,-0.06865170090211578,-0.040802671615874184
E. coli Consensus,10,19,1083,-0.09525647396046608,-0.0196333099885719,-0.07562316397189417
E. coli Consensus,10,20,1699,-0.09604679679413146,-0.07398441192013477,-0.022062384873996685
E. coli Consensus,10,21,1086,-0.054472179953833015,-0.008408128278596012,-0.046064051675237
E. coli Consensus,10,22,1695,-0.026421257940009973,-0.042212974286562524,0.01579171634655255
E. coli Consensus,10,23,1695,-0.13281270378096688,-0.056196555665126345,-0.07661614811584053
E. coli Consensus,10,24,1700,-0.053431776928562644,-0.07569135641019177,0.022259579481629127
E. coli Consensus,10,25,1695,-0.07512340624502115,-0.05219440618743711,-0.022929000057584033
E. coli Consensus,10,26,1695,-0.1315601314830011,-0.05351371391715649,-0.07804641756584463
E. coli Consensus,10,27,1338,-0.15648024261067267,-0.012994929491609646,-0.143485313119063
E. coli Consensus,10,28,1695,-0.09129746068909429,-0.05758696432528642,-0.03371049636380787
E. coli Consensus,10,29,1695,-0.12331517735941137,-0.07172473346814824,-0.05159044389126313
E. coli Consensus,10,30,1695,-0.07710814117972223,-0.0613084493836843,-0.015799691796037928
E. coli Consensus,10,31,1085,-0.023518677069148102,0.004226188785855956,-0.027744865855004058
E. coli Consensus,10,32,1695,-0.12615230028223895,-0.04808586792908211,-0.07806643235315684
E. coli Consensus,10,33,1695,-0.005204334753569873,-0.052211985057252865,0.047007650303682993
E. coli Consensus,10,34,1700,-0.17634003500815937,-0.08213506810640246,-0.0942049669017569
E. coli Consensus,10,35,1682,-0.045374946143714366,-0.05006398246760288,0.004689036323888514
E. coli Consensus,10,36,1695,-0.017268114921702882,-0.040472585299529,0.023204470377826115
E. coli Consensus,10,37,1695,-0.1301250503606451,-0.04561730138799251,-0.08450774897265258
E. coli Consensus,10,38,1694,-0.1467029493384509,-0.07528048062973114,-0.07142246870871977
E. coli Consensus,10,39,1698,-0.18955274975630612,-0.07144637624994422,-0.1181063735063619
